family,common_name,scientific_names,trophic_groups,swahili_names
Erythrinidae ,Trahira,Hoplias malabaricus  ,#N/A,Tiri
Scaridae,Unknown,Pono meno ,#N/A,Pono meno 
Chirocentridae,Unknown,Mkonge bung ,#N/A,Mkonge bung 
Lutjanidae,Unknown,Tembo kibaku ,#N/A,Tembo kibaku 
Unknown,Unknown,Shazo ,#N/A,Shazo 
Unknown,Unknown,Mkule ,#N/A,Mkule 
Unknown,Unknown,Bora ,#N/A,Bora 
Unknown,Unknown,Zikimshipi ,#N/A,Zikimshipi 
Carangidae,Unknown,Kolekole mrondoo ,#N/A,Kolekole mrondoo 
Hemiramphidae,Unknown,Chana ,#N/A,Chana 
Haemulidae,Unknown,Diagramma pictum,#N/A,Komba 
Lutjanidae,Hampback red snapper,Lutjanus gibbus ,#N/A,#N/A
Scorpaenidae,Scorpionfish,Scorpaena jacksoniensis ,#N/A,Cheche
Mullidae,Ochre banded goatfish,Upeneus sundaicus,#N/A,Sonyo
Mullidae,Unknown,Kundaji mweupe ,#N/A,Kundaji mweupe 
Mullidae,Unknown,Kundaji kidoa ,#N/A,Kundaji kidoa 
Mullidae,Unknown,Kundaji mwekundu ,#N/A,Kundaji mwekundu 
Lethrinidae,Snubnose emperor,Lethrinus borbonicus ,#N/A,Nyamvi
Holocentridae,Unknown,Kifuu ,#N/A,Kifuu 
Sillaginidae,Unknown,Toa ,#N/A,Toa 
Siganidae,Unknown,Tasi mweupe ,#N/A,Tasi mweupe 
Siganidae,Dusky spinefoot,Siganus luridus ,#N/A,Tasi mweusi
Serranidae,Chocolate hind,Cephalopholis boenak ,#N/A,Kivumbi
Leiognathidae,Unknown,Paza ,#N/A,Paza 
Pomacentridae,Indo Pacific sergeant,Abudefduf vaigiensis ,#N/A,Kute
Unknown,Unknown,Pepero ,#N/A,Pepero 
Lutjanidae,Unknown,Mbono/kubu ,#N/A,Mbono/kubu 
Unknown,Unknown,Miurana ,#N/A,Miurana 
Unknown,Unknown,Mwayo ,#N/A,Mwayo 
Unknown,Unknown,Nbwege ,#N/A,Nbwege 
Unknown,Unknown,Kirimba ,#N/A,Kirimba 
Lutjanidae,Unknown,Hazi ,#N/A,Hazi 
Mullidae,Unknown,Kundaji mwamba ,#N/A,Kundaji mwamba 
Balistidae ,Unknown,Kikande mweupe ,#N/A,Kikande mweupe 
Balistidae ,Unknown,Kikande mweusi ,#N/A,Kikande mweusi 
Balistidae ,White banded triggerfish,Rhinecanthus aculeatus   ,#N/A,Kundaji mwamba
Lethrinidae,Unknown,Changu mweupe,#N/A,Changu mweupe
Unknown,Unknown,Kuku bahari,#N/A,Kuku bahari
Acanthuridae,Unknown,Kangaja ,#N/A,Kangaja 
Tetraodontidae,Unknown,Bunju,#N/A,Bunju
Serranidae,Black hamlet,Hypoplectrus nigricans ,#N/A,Mwewe
Unknown,Unknown,Ubwi ,#N/A,Ubwi 
Lutjanidae,Northern red snapper,Lutjanus campechanus ,#N/A,Araki
Lutjanidae,Unknown,Haraki  ,#N/A,Haraki  
Unknown,Unknown,Machogodi ,#N/A,Machogodi 
Lutjanidae,Unknown,Tembo mahadhi ,#N/A,Tembo mahadhi 
Lutjanidae,Unknown,Tembo bato  ,#N/A,Tembo bato  
Unknown,Unknown,Bamra,#N/A,Bamra
Sillaginidae,Unknown,Sillago sihama,#N/A,Mkupi
Lethrinidae,Unknown,Chaamji,#N/A,Chaamji
Lutjanidae,Spanish flag snapper,Lutjanus carponotatus ,#N/A,Ngagu
Pomacentridae,Twobar anemonefish,Amphiprion allardi ,#N/A,Chichi
Labridae,Tarry hogfish,Bodianus bilunulatus ,#N/A,Msumeno
Scaridae,Blue barred parrotfish,Scarus ghobban ,#N/A,Pono mchele
Holocentridae,Unknown,kifuu mweupe ,#N/A,kifuu mweupe 
Acanthuridae,Spotted unicornfish     ,Naso brevirostris ,#N/A,Kifuu mkondo
Lethrinidae,Unknown,Changu dizi ,#N/A,Changu dizi 
Holocentridae,Unknown,tungua mbeu ,#N/A,tungua mbeu 
Serranidae,Coral hind,Cephalopholis miniata ,#N/A,chewa_mwekundu
Paralichthyidae,Gulf flounder,Paralichthys albigutta ,#N/A,uwayo
Unknown,Unknown,Chechele ,#N/A,Chechele 
Unknown,Unknown,Mchuanda ,#N/A,Mchuanda 
Lutjanidae,Unknown,Tembo kidoa ,#N/A,Tembo kidoa 
Pomacentridae,Unknown,Bange manjano ,#N/A,Bange manjano 
Lutjanidae,Black and white snapper,Macolor niger ,#N/A,kute_mweupe
Pomacentridae,Threespot dascyllus,Dascyllus trimaculatus ,#N/A,Paramawe
Unknown,Unknown,Chalee/cheche mbawa ,#N/A,Chalee/cheche mbawa 
Scorpaenidae,Red scorpionfish,Scorpaena scrofa  ,#N/A,Chale
Carangidae,Unknown,Una ,#N/A,Una 
Pomacentridae,Emperor angelfish,Pomacanthus imperator ,#N/A,Masange
Acanthuridae,Unknown,helahela_ngozi ,#N/A,helahela_ngozi 
Belonidae,Unknown,mngare ngare ,#N/A,mngare ngare 
Lutjanidae,Unknown,Tembo uzi,#N/A,Tembo uzi
Scombridae,Unknown,Songoro,#N/A,Songoro
Small pelagic,Unknown,dagaa/dagaa damu/biri biri ,#N/A,dagaa/dagaa damu/biri biri 
Tetraodontidae,Unknown,Duwi ,#N/A,Duwi 
Scombridae,Unknown,Rostrelliger kanagurta,#N/A,Nyuna 
Ariidae,Unknown,Fumi ,#N/A,Fumi 
Small pelagic,Unknown,Uwono ,#N/A,Uwono 
Scombridae,Unknown,Bang'ra mbuzi ,#N/A,Bang'ra mbuzi 
Scombridae,Unknown,Bang'ra ,#N/A,Bang'ra 
others,Unknown,Mkunga mweusi ,#N/A,Mkunga mweusi 
Scaridae,Unknown,Papai ,#N/A,Papai 
Unknown,Unknown,Mkubu ,#N/A,Mkubu 
Unknown,Unknown,Shembuu ,#N/A,Shembuu 
Unknown,Unknown,Vundamwe ,#N/A,Vundamwe 
Scaridae,Unknown,Pono kijino,#N/A,Pono kijino
Unknown,Unknown,Kaufikile ,#N/A,Kaufikile 
Lutjanidae,Unknown,Poowe  ,#N/A,Poowe  
Scaridae,Sinai parrotfish,Chlorurus genazanatus,#N/A,Pono 13
Scaridae,Blue bumphead parrotfish,Chlorurus cyanescens ,#N/A,Chlorurus cyanescens 
Unknown,Unknown,Duchi ,#N/A,Duchi 
Unknown,Unknown,Mfumashi ,#N/A,Mfumashi 
Unknown,Unknown,Nyenga ,#N/A,Nyenga 
Unknown,Unknown,Mchimbashi ,#N/A,Mchimbashi 
Unknown,Unknown,Kinyonga ,#N/A,Kinyonga 
Unknown,Unknown,Rongwe ,#N/A,Rongwe 
Unknown,Unknown,Pandu ndozi,#N/A,Pandu ndozi
Hemiramphidae,black barred halfbeak,Hemirampus far ,#N/A,Kure
Hemiramphidae,Unknown,Morani,#N/A,Morani
Unknown,Unknown,Paza nguru ,#N/A,Paza nguru 
Sillaginidae,Unknown,Sphyreana obtusata,#N/A,Dukazi 
Unknown,Unknown,Vumba,#N/A,Vumba
Scaridae,Unknown,Pono chore ,#N/A,Pono chore 
Hemiramphidae,Unknown,Mataka ya ndizi ,#N/A,Mataka ya ndizi 
Lethrinidae,Unknown,Lethrinus xanthochilus,#N/A,Kokwe
Unknown,Unknown,Nyimbi,#N/A,Nyimbi
Belonidae,Unknown,Mcheshe,#N/A,Mcheshe
Hemiramphidae,Unknown,Penseli,#N/A,Penseli
Small pelagic,Unknown,Saradini ,#N/A,Saradini 
Unknown,Unknown,Viroho ,#N/A,Viroho 
Small pelagic,Unknown,Upapa ,#N/A,Upapa 
Unknown,Unknown,Manyama,#N/A,Manyama
Tetraodontidae,Unknown,Panzi,#N/A,Panzi
Sillaginidae,Unknown,Mishe ,#N/A,Mishe 
Unknown,Unknown,Pandu ngozi ,#N/A,Pandu ngozi 
Unknown,Unknown,Kunde ,#N/A,Kunde 
Unknown,Unknown,Kiziki mshipi ,#N/A,Kiziki mshipi 
Unknown,Unknown,Kibuna ,#N/A,Kibuna 
Unknown,Unknown,Kibuyu pembe ,#N/A,Kibuyu pembe 
Unknown,Unknown,Bora mboga ,#N/A,Bora mboga 
Unknown,Unknown,Kute ,#N/A,Kute 
Plotosidae,Unknown,Plotosus lineatus,#N/A,Ngogo
Unknown,Unknown,Ali achan,#N/A,Ali achan
Lethrinidae,Pink ear emperor,Lethrinus lentjan,Omnivores,Changu7
Labridae,Western King wrasse,Coris auricularis  ,#N/A,Pono sijui
Scaridae,spotted parrotfish,Cetoscarus ocellatus  ,#N/A,#N/A
Priacanthidae,Moontail bullseye,Priacanthus hamrur  ,#N/A,Govero
Serranidae,White edged lyretail,Variola albimarginata  ,#N/A,#N/A
Serranidae,Peacock hind,Cephalopholis argus  ,#N/A,Chewa mweusi
Unknown,Unknown,Tufe ,#N/A,Tufe 
Lutjanidae,Unknown,Kima,#N/A,Kima
Serranidae,Unknown,Kuchi,#N/A,Kuchi
Serranidae,Unknown,Mwandimu,#N/A,Mwandimu
Unknown,Unknown,Mwacheji,#N/A,Mwacheji
Unknown,Unknown,Mamboleo,#N/A,Mamboleo
Unknown,Unknown,Pandu,#N/A,Pandu
Unknown,Unknown,Chije,#N/A,Chije
Holocentridae,Unknown,Mwanasha,#N/A,Mwanasha
Hemiramphidae,Unknown,Kidau,#N/A,Kidau
Unknown,Unknown,Mwakumaka,#N/A,Mwakumaka
Lethrinidae,Unknown,Tukuwana,#N/A,Tukuwana
Mullidae,Unknown,Sonyo,#N/A,Sonyo
Labridae,Unknown,Zoroto,#N/A,Zoroto
Holocentridae,Unknown,Mwajame,#N/A,Mwajame
Sillaginidae,Unknown,Mshe,#N/A,Mshe
Sillaginidae,Unknown,Sphyreana forsteri,#N/A,Songwa
Synodontidae,Unknown,Trachinocephalus myops,#N/A,Goromwe
Lutjanidae,Unknown,Numbi,#N/A,Numbi
Serranidae,Unknown,Janjua,#N/A,Janjua
Unknown,Unknown,Kumbi,#N/A,Kumbi
Lethrinidae,Unknown,Sororo,#N/A,Sororo
Unknown,Unknown,Mchone,#N/A,Mchone
Lethrinidae,Unknown,Lethrinus variegatus,#N/A,Sururu
Scaridae,Unknown,Kangu,#N/A,Kangu
Serranidae,Unknown,Cephalopholis nigripinnis,#N/A,Fukudi
Labridae,Unknown,Novaculichthys taeniourus,#N/A,Chale
Labridae,Unknown,Popotoe/Baero,#N/A,Popotoe/Baero
Ephippidae,Unknown,Shana,#N/A,Shana
Acanthuridae,Unknown,Acanthurus triostegus,#N/A,Kitongoo
Carangidae,Unknown,Gololi,#N/A,Gololi
Unknown,Unknown,Tindija,#N/A,Tindija
Lethrinidae,Unknown,Changu mwamba,#N/A,Changu mwamba
Lutjanidae,Unknown,Tatau,#N/A,Tatau
Haemulidae,Unknown,Koe,#N/A,Koe
Ephippidae,Unknown,Ruguu,#N/A,Ruguu
Lutjanidae,Unknown,Kinywa Uchi,#N/A,Kinywa Uchi
Carangidae,Unknown,Kambisi,#N/A,Kambisi
Unknown,Unknown,Ngurangura,#N/A,Ngurangura
Nemipteridae,Unknown,Fudu ,#N/A,Fudu 
Scombridae,Unknown,Msumari ,#N/A,Msumari 
Psettodidae,Unknown,Wayo ,#N/A,Wayo 
Haemulidae,Unknown,Chije ,#N/A,Chije 
Lutjanidae,Unknown,Muololo,#N/A,Muololo
Scombridae,Unknown,Bangara,#N/A,Bangara
Unknown,Unknown,Mgema,#N/A,Mgema
Carangidae,Unknown,Kolekole ubwi ,#N/A,Kolekole ubwi 
Carangidae,Unknown,Kolekole Jogoo ,#N/A,Kolekole Jogoo 
Carangidae,Unknown,Kolekole mapanga ,#N/A,Kolekole mapanga 
Carangidae,Unknown,Kolekole mdomo ,#N/A,Kolekole mdomo 
Serranidae,Unknown,Moshi ,#N/A,Moshi 
Unknown,Unknown,Kowe ,#N/A,Kowe 
Unknown,Unknown,Kuwazi ,#N/A,Kuwazi 
Lethrinidae,Unknown,Changu mchekeni ,#N/A,Changu mchekeni 
Leiognathidae,Unknown,Kwere kwere,#N/A,Changu tawa
Ephippidae,Unknown,Kipepeo,#N/A,Platax spp
Unknown,Unknown,Midu,#N/A,Midu
Unknown,Unknown,Pue,#N/A,Pue
Lethrinidae,Unknown,Changu tawa,#N/A,Changu tawa
Carangidae,Unknown,Kolekole mwamba,#N/A,Kolekole mwamba
Pomacentridae,Allard's anemone fish,Amphiprion allardi ,Planktivores,Chichi
Labridae,Rockmover Wrasse,Novaculichthys taeniourus,#N/A,Pore
Holocentridae,Unknown,Sargocentron spiniferum,#N/A,Sodela
Holocentridae,Unknown,Sargocentron spiniferum,#N/A,Chuma chuma
Holocentridae,Unknown,Sargocentron spiniferum,#N/A,Kwengwedu
Haemulidae,Unknown,Mvyeu,#N/A,Mvyeu
Mugilidae,Unknown,Mnyimbi,#N/A,Mnyimbi
Lethrinidae,Unknown,Changu Kibora,#N/A,Changu Kibora
