f,Species,Old Name,Genus,Taxonomic Authority,Trophic Group,a,b,N,r,L.min,L.max,Source species,Citation,LS,TS,Diversity,,,,,
Epinephelidae,Epinephelus polylepis,E. polylepis*,Epinephelus,Randall & Heemstra 1991,Primary Piscivores,0.0074,3.161,84,99.02,15.5,121,Epinephelus polylepis,McCoy et al 2009,N,Y,Y,,,,,
Epinephelidae,Epinephelus summana,E. summana,Epinephelus,(Fabricius 1775),Primary Piscivores,0.018,2.938,24,0.997,3.5,61,Epinephelus caeruleopunctatus,Kulbicki et al 2005  listed in Green & Bellwood 09,N,Y,Y,,,,,
Epinephelidae,Epinephelus tauvina,E. tauvina,Epinephelus,(Fabricius 1775),Primary Piscivores,0.0083,3.166,,,,,Epinephelus polyphekadion,Kulbicki et al 2005  listed in Green & Bellwood 10,N,,,,,,,
Epinephelidae,Epinephelus polyphekadion,E. polyphekadion,Epinephelus,(Bleeker 1849),Primary Piscivores,0.0083,3.166,359,0.992,8.5,61.5,Epinephelus polyphekadion,Kulbicki et al 2005  listed in Green & Bellwood 11,Y,Y,Y,,,,,
Epinephelidae,Epinephelus tukula,E. tukula,Epinephelus,Morgans 1959,Primary Piscivores,0.0122,3.053,2712,0.996,3.5,128,Epinephelus spp.,Kulbicki et al 2005  listed in Green & Bellwood 12,Y,Y,Y,,,,,
Epinephelidae,Epinephelus coioides,E. coiodes,Epinephelus,(Hamilton 1822),Primary Piscivores,0.0099,3.102,44,0.997,6.5,111,Epinephelus coioides,Kulbicki et al 2005  listed in Green & Bellwood 13,Y,Y,Y,,,,,
Epinephelidae,Epinephelus lanceolatus,E. lanceolatus,Epinephelus,(Bloch 1790),Primary Piscivores,0.0173,3,,,,,Epinephelus lanceolatus,Fishbase,Y,Y,Y,,,,,
Epinephelidae,Gracila albomarginata,Gracila albomarginata,Gracila,(Fowler & Bean 1930),Primary Piscivores,0.0093,3.181,,,,44,Cephalopholis argus,Kulbicki et al 2005  listed in Green & Bellwood 13,N,Y,Y,,,,,
Epinephelidae,Plectropomus punctatus,P. punctatus,Plectropomus,(Quoy & Gaimard 1824),Primary Piscivores,0.0059,3.238,,,,95,Plectropomus laevis,Kulbicki et al 2005  listed in Green & Bellwood 14,Y,Y,Y,,,,,
Epinephelidae,Plectropomus areolatus,Plectropomus areolatus,Plectropomus,(Rüppell 1830),Primary Piscivores,0.0107,3.086,212,0.996,10.7,95,Plectropomus spp.,Kulbicki et al 2005  listed in Green & Bellwood 15,Y,Y,Y,,,,,
