f,Species,Old Name,Genus,Taxonomic Authority,Trophic Group,a,b,N,r,L.min,L.max,Source species,Citation,LS,TS,Diversity,,,,,
Lethrinidae,Monotaxis grandoculis,Monotaxis grandoc,Monotaxis,(Forsskal 1775),Omnivores,0.023,3.022,63,0.999,4,45,Monotaxis grandoculis,Kulbicki et al 2005  listed in Green & Bellwood 48,Y,Y,Y,,,,,
Lethrinidae,Lethrinus spp.,Lethrinus spp.,Lethrinus,,Omnivores,0.0165,3.043,7597,0.996,2.5,86,Lethrinus spp.,Kulbicki et al 2005  listed in Green & Bellwood 49,Y,Y,Y,,,,,
Mullidae,Mulloidichthys vanicolensis,M. vanicolensis,Mulloidichthys,(Valenciennes 1831),,,,,,,,,,N,N,Y,,,,,
Mullidae,Mulloidichthys flavolineatus ,Mulloidi. flavolineatus ,Mulloidichthys,(Lacepede 1802),,,,,,,,,,N,N,Y,,,,,
Mullidae,Parupeneus cyclostomus ,P. cyclostomus ,Parupeneus,(Lacepede 1802),,,,,,,,,,N,N,Y,,,,,
Mullidae,Parupeneus heptacanthus ,P. heptacanthus ,Parupeneus,(Lacepede 1802),,,,,,,,,,N,N,Y,,,,,
Mullidae,Parupeneus indicus ,P. indicus ,Parupeneus,(Shaw 1803),,,,,,,,,,N,N,Y,,,,,
Mullidae,Parupeneus macronema ,P. macronema ,Parupeneus,(Lacepede 1801),,,,,,,,,,N,N,Y,,,,,
Mullidae,Parupeneus pleurostigma ,P. pleurostigma ,Parupeneus,(Bennett 1831),,,,,,,,,,N,N,Y,,,,,
Mullidae,Parupeneus rubescens ,P. rubescens ,Parupeneus,(Lacepede 1801),,,,,,,,,,N,N,Y,,,,,
Mullidae,Parupeneus trifasciatus,P. trifasciatus,Parupeneus,(Lacepede 1801),,,,,,,,,,N,N,Y,,,,,
Mullidae,Parupeneus barberinus,Parupeneus barberinus,Parupeneus,(Lacepede 1801),,,,,,,,,,N,N,Y,,,,,
Chaetodontidae,Chaetodon bennetti,C. bennetti,Chaetodon,Cuvier 1831,Corallivores,0.0384,2.885,20,0.994,3,12.6,Chaetodon bennetti,Kulbicki et al 2005  listed in Green & Bellwood 49,N,Y,Y,,,,,
Chaetodontidae,Chaetodon falcula,C. falcula,Chaetodon,Bloch 1795,Invertivores,0.045,2.814,,,,19,Chaetodon spp.,Kulbicki et al 2005  listed in Green & Bellwood 50,N,Y,Y,,,,,
Chaetodontidae,Chaetodon guttatissimus,C. guttatissimus,Chaetodon,Bennett 1833,Invertivores,0.045,2.814,,,,19,Chaetodon spp.,Kulbicki et al 2005  listed in Green & Bellwood 51,N,Y,Y,,,,,
Chaetodontidae,Chaetodon interruptus,C. interruptus,Chaetodon,Ahl 1923,Invertivores,0.0533,2.833,13,0.998,4.5,18,Chaetodon unimaculatus,Kulbicki et al 2005  listed in Green & Bellwood 52,N,Y,Y,,,,,
Chaetodontidae,Chaetodon fasciatus,C. fasciatus*,Chaetodon,Forsskål 1775,Corallivores,0.045,2.814,1927,0.982,2,19,Chaetodon spp.,Kulbicki et al 2005  listed in Green & Bellwood 51,N,Y,Y,,,,,
Chaetodontidae,Chaetodon melapterus,C. melapterus*,Chaetodon,Guichenot 1863,Corallivores,0.0450,2.814,1927,0.982,2,19,Chaetodon spp.,Kulbicki et al 2005  listed in Green & Bellwood 51,N,Y,Y,,,,,
Chaetodontidae,Chaetodon kleinii,C. kleinii,Chaetodon,Bloch 1790,Invertivores,0.0448,2.828,,,,,Chaetodon kleinii,Fishbase,N,Y,Y,,,,,
Chaetodontidae,Chaetodon leucopleura,C. leucopleura,Chaetodon,Playfair 1867,Invertivores,0.045,2.814,1927,0.982,2,19,Chaetodon spp.,Kulbicki et al 2005  listed in Green & Bellwood 51,N,Y,Y,,,,,
Chaetodontidae,Chaetodon lineolatus,C. lineolatus,Chaetodon,Cuvier 1831,Invertivores,0.0693,2.622,89,0.987,2,20,Chaetodon lineolatus,Kulbicki et al 2005  listed in Green & Bellwood 52,N,Y,Y,,,,,
Chaetodontidae,Chaetodon lunula,C. lunula,Chaetodon,(Lacepede 1802),Invertivores,0.045,2.814,,,,19,Chaetodon spp.,Kulbicki et al 2005  listed in Green & Bellwood 51,N,Y,Y,,,,,
Chaetodontidae,Chaetodon semilarvatus,C. semilarvatus*,Chaetodon,Cuvier 1831,Invertivores,0.0693,2.622,89,0.987,2,20,Chaetodon lineolatus,Kulbicki et al 2005  listed in Green & Bellwood 52,N,Y,Y,,,,,
Chaetodontidae,Chaetodon larvatus,C. larvatus*,Chaetodon,Cuvier 1831,Corallivores,0.0257,3.1,597,0.98,2,19,Chaetodon larvatus,Kulbicki et al 2005  listed in Green & Bellwood 53,N,Y,Y,,,,,
Chaetodontidae,Chaetodon madagaskariensis,C. madagaskariensis,Chaetodon,Ahl 1923,Invertivores,0.045,2.814,,,,19,Chaetodon spp.,Kulbicki et al 2005  listed in Green & Bellwood 51,N,Y,Y,,,,,
Chaetodontidae,Chaetodon melannotus,C. melannotus,Chaetodon,Bloch & Schneider 1801,Corallivores,0.0267,3.049,138,0.988,2,11.1,Chaetodon melannotus,Kulbicki et al 2005  listed in Green & Bellwood 52,N,Y,Y,,,,,
Chaetodontidae,Chaetodon meyeri,C. meyeri,Chaetodon,Bloch & Schneider 1801,Corallivores,0.045,2.814,,,,19,Chaetodon spp.,Kulbicki et al 2005  listed in Green & Bellwood 51,N,Y,Y,,,,,
Chaetodontidae,Chaetodon trifascialis,C. trifascialis,Chaetodon,Quoy & Gaimard 1825,Corallivores,0.0258,2.969,23,0.985,3,14,Chaetodon trifascialis,Kulbicki et al 2005  listed in Green & Bellwood 52,N,Y,Y,,,,,
Chaetodontidae,Chaetodon trifasciatus,C. trifasciatus,Chaetodon,Park 1797,Corallivores,0.0311,2.976,189,0.983,3.5,12.1,Chaetodon trifasciatus,Kulbicki et al 2005  listed in Green & Bellwood 53,N,Y,Y,,,,,
Chaetodontidae,Chaetodon vagabundus,C. vagabundus,Chaetodon,Linnaeus 1758,Invertivores,0.0278,2.973,65,0.99,4,14,Chaetodon vagabundus,Kulbicki et al 2005  listed in Green & Bellwood 54,N,Y,Y,,,,,
Chaetodontidae,Chaetodon xanthocephalus,C. xanthocephalus,Chaetodon,Bennett 1833,Invertivores,0.045,2.814,,,,19,Chaetodon spp.,Kulbicki et al 2005  listed in Green & Bellwood 51,N,Y,Y,,,,,
Chaetodontidae,Chaetodon zanzibarensis,C. zanzibarensis,Chaetodon,Playfair 1867,Invertivores,0.045,2.814,,,,19,Chaetodon spp.,Kulbicki et al 2005  listed in Green & Bellwood 52,N,Y,Y,,,,,
Chaetodontidae,Chaetodon mesoleucos,C. mesoleucos*,Chaetodon,(Bloch 1787),Invertivores,0.045,2.814,1927,0.982,2,19,Chaetodon spp.,Kulbicki et al 2005  listed in Green & Bellwood 53,N,Y,Y,,,,,
Chaetodontidae,Chaetodon auriga,Chaetodon auriga,Chaetodon,Forsskal 1775,Invertivores,0.0404,2.829,246,0.992,2.4,19,Chaetodon auriga,Kulbicki et al 2005  listed in Green & Bellwood 54,N,Y,Y,,,,,
Chaetodontidae,Chaetodon dolosus,Chaetodon dolosus,Chaetodon,Ahl 1923,Invertivores,0.045,2.814,,,,,Chaetodon spp.,Kulbicki et al 2005  listed in Green & Bellwood 51,N,Y,Y,,,,,
Chaetodontidae,Forcipiger longirostris,F. longirostris,Forcipiger,(Broussonet 1782),Invertivores,0.0138,3.000,1.000,,17.200,17.200,Forcipiger longirostris,Fishbase,N,Y,Y,,,,,
Chaetodontidae,Forcipiger flavissimus,Forcipiger flavissimis,Forcipiger,Jordan & McGregor 1898,Invertivores,0.0125,3,3,,13.6,15.3,Forcipiger flavissimis,Fishbase,N,Y,Y,,,,,
Chaetodontidae,Hemitaurichthys zoster,Hemitaurichthys zoster,Hemitaurichthys,(Bennett 1831),Planktivores,0.045,2.814,,,,19,Chaetodon spp.,Kulbicki et al 2005  listed in Green & Bellwood 51,N,Y,Y,,,,,
Chaetodontidae,Heniochus acuminatus,Heniochus acuminatus,Heniochus,(Linnaeus 1758),Planktivores,0.0247,3.106,85,0.99,3.5,17.5,Heniochus acuminatus,Kulbicki et al 2005  listed in Green & Bellwood 52,N,Y,Y,,,,,
Chaetodontidae,Heniochus diphreutes,Heniochus diphreutes,Heniochus,Jordan 1903,Planktivores,0.0252,3.082,146,0.991,3.5,21.4,Heniochus spp.,Kulbicki et al 2005  listed in Green & Bellwood 53,N,Y,Y,,,,,
Chaetodontidae,Heniochus monoceros,Heniochus monoceros,Heniochus,Cuvier 1831,Invertivores,0.017,3.211,29,0.991,9,21,Heniochus monoceros,Kulbicki et al 2005  listed in Green & Bellwood 54,N,Y,Y,,,,,
Chaetodontidae,Heniochus intermedius,Heniochus intermedius*,Heniochus,Steindachner 1893,Invertivores,0.0252,3.082,146,0.991,3.5,21.4,Heniochus spp.,Kulbicki et al 2005  listed in Green & Bellwood 53,N,Y,Y,,,,,
Chaetodontidae,Chaetodon spp.,,Chaetodon,,Invertivores,0.045,2.814,1927,0.982,2,19,Chaetodon spp.,Kulbicki et al 2005  listed in Green & Bellwood 95,N,Y,Y,,,,,
Chaetodontidae,Heniochus spp.,Heniochus sp.,Heniochus,,Invertivores,0.017,3.211,,,,,Heniochus spp.,Kulbicki et al 2005  listed in Green & Bellwood 53,N,Y,Y,,,,,
Pomacanthidae,Apolemichthys trimaculatus,Apolemichthys trimacul,Apolemichthys,(Cuvier 1831) ,Invertivores,0.0309,3.000,,,,,Apolemichthys arcuatus,Fishbase,N,Y,Y,,,,,
Pomacanthidae,Centropyge bispinosa,C. bispinosa,Centropyge,(Gunther 1860),Grazer-detritivores,0.0745,2.577,,,,,Centropyge spp.,Kulbicki et al 2005  listed in Green & Bellwood 53,N,Y,Y,,,,,
Pomacanthidae,Centropyge multispinis,C. multispinis,Centropyge,(Playfair 1867),Grazer-detritivores,0.0745,2.577,,,,,Centropyge spp.,Kulbicki et al 2005  listed in Green & Bellwood 54,N,Y,Y,,,,,
Pomacanthidae,Centropyge acanthops,Centropyge acanthops,Centropyge,(Norman 1922),Grazer-detritivores,0.0745,2.577,,,,,Centropyge spp.,Kulbicki et al 2005  listed in Green & Bellwood 55,N,Y,Y,,,,,
Pomacanthidae,Centropyge spp.,Centropyge sp.,Centropyge,,Grazer-detritivores,0.0745,2.577,,,,,Centropyge spp.,Kulbicki et al 2005  listed in Green & Bellwood 56,N,Y,Y,,,,,
Pomacanthidae,Genicanthus caudovittatus,Genicanthus caudovittatus,Genicanthus,(Gunther 1860),Planktivores,0.00762,3,,,,,Genicanthus caudovittatus,Fishbase,N,Y,Y,,,,,
Pomacanthidae,Pomacanthus imperator,P. imperator,Pomacanthus,(Bloch 1787),Invertivores,0.0669,2.724,,,,,Pomacanthus sexstriatus,Kulbicki et al 2005  listed in Green & Bellwood 56,N,Y,Y,,,,,
Pomacanthidae,Pomacanthus semicirculatus,P. semicirculatus,Pomacanthus,(Cuvier 1831),Invertivores,0.0669,2.724,,,,,Pomacanthus sexstriatus,Kulbicki et al 2005  listed in Green & Bellwood 57,N,Y,Y,,,,,
Pomacanthidae,Pomacanthus chrysurus,Pomacanthus chrysurus,Pomacanthus,(Cuvier 1831),Invertivores,0.0669,2.724,,,,,Pomacanthus sexstriatus,Kulbicki et al 2005  listed in Green & Bellwood 58,N,Y,Y,,,,,
Pomacanthidae,Pomacanthus maculosus,Pomacanthus maculosus,Pomacanthus,Forsskal 1775,Invertivores,0.0669,2.724,,,,,Pomacanthus sexstriatus,Kulbicki et al 2005  listed in Green & Bellwood 59,N,Y,Y,,,,,
Pomacanthidae,Pomacanthus asfur,P. asfur*,Pomacanthus,(Fabricius 1775),Invertivores,0.0669,2.724,20,0.999,3.5,36.4,Pomacanthus sexstriatus,Kulbicki et al 2005  listed in Green & Bellwood 60,N,Y,Y,,,,,
Pomacanthidae,Pygoplites diacanthus,Pygoplites diacanthus,Pygoplites,(Boddaert 1772),Invertivores,0.0276,3.000,,,,,Pygoplites diacanthus,Fishbase,N,Y,Y,,,,,
Pomacanthidae,Pomacanthid spp.,Pomacanthid sp.,Pomacanthus,,Invertivores,0.0669,2.724,,,,,Pomacanthus sexstriatus,Kulbicki et al 2005  listed in Green & Bellwood 60,N,Y,Y,,,,,
Pomacentridae,Amphiprion akallopisos,Amphiprion akallopisos,Amphiprion,Bleeker 1853,,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Amphiprion allardi,A. allardi,Amphiprion,Klausewitz 1970,,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Amphiprion bicinctus,Amphiprion cf. bicinctus,Amphiprion,Ruppell 1830,,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Amphiprion latifasciatus,A. latifasciatus,Amphiprion,Allen 1972,,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Abudefduf sexfasciatus,A. sexfasciatus,Abudefduf,(Lacepede 1801),,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Abudefduf sparoides,A. sparoides,Abudefduf,(Quoy & Gaimard 1825),,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Abudefduf vaigiensis,A. vaigiensis,Abudefduf,(Quoy & Gaimard 1825),,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Abudefduf sordidus,Abudefduf sordidus,Abudefduf,Forsskal 1775,,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Amblyglyphidodon indicus,Amblygl. indicus,Amblygliphidodon,Allen & Randall 2002,,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Chromis atripectoralis,C. atripectoralis,Chromis,Welander & Schultz 1951,,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Chromis fieldi,C. dimidiata (fieldi),Chromis,Randall & DiBattista 2013,,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Chromis lepidolepis,C. lepidolepis,Chromis,Bleeker 1877,,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Chromis nigroanalis,C. nigroanalis,Chromis,Randall 1988,,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Chromis nigrura,C. nigrura,Chromis,Smith 1960,,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Chromis opercularis,C. opercularis,Chromis,(Gunther 1867),,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Chromis ternatensis,C. ternatensis,Chromis,(Bleeker 1856),,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Chromis viridis,C. viridis,Chromis,(Cuvier 1830),,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Chromis weberi,C. weberi,Chromis,Fowler & Bean 1928,,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Chromis agilis,Chromis agilis,Chromis,Smith 1960,,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Pomacentrus trichrourus,Pomacentrus trichrourus,Pomacentrus,Gunther 1867,,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Chromis pembae,Chromis pembae,Chromis,Smith 1960,,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Chrysiptera biocellata,Chry. biocellata,Chrysiptera,(Quoy & Gaimard 1825),,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Chrysiptera glauca,Chry. glauca,Chrysiptera,(Cuvier 1830),,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Chrysiptera leucopoma,Chry. leucopoma,Chrysiptera,(Cuvier 1830),,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Chrysiptera unimaculata,Chry. unimaculata,Chrysiptera,(Quoy & Gaimard 1825),,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Dascylus trimaculatus,D. trimaculatus,Dascylus,(Ruppell 1829) ,,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Dascylus carneus,D.carneus,Dascylus,Fischer 1885,,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Dascylus aruanus,Dascylus aruanus,Dascylus,(Fabricius 1775),,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Neopomacentrus cyanomos,N. cyanomos,Neopomacentrus,(Bleeker 1856),,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Neoglyphidodon melas,Neoglyphid. melas,Neoglyphidodon,(Valenciennes 1830),,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Neopomacentrus sororius,Neopomacentrus sororius,Neopomacentrus,Randall & Allen 2005,,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Pomacentrus aquilus,P. aquilus,Pomacentrus,Allen & Randall 1981,,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Pomacentrus baenschi,P. baenschi,Pomacentrus,Allen 1991,,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Pomacentrus caeruleus,P. caeruleus,Pomacentrus,Quoy & Gaimard 1825,,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Pomacentrus  sp. 1 (cf. emarginatus),P. cf. emarginatus,Pomacentrus,,,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Pomacentrus sp. 2 (cf. javanicus),P. cf. javanicus,Pomacentrus,,,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Pomacentrus pavo,P. pavo,Pomacentrus,(Bloch 1787),,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Pomacentrus sulfureus,P. sulfureus,Pomacentrus,Klunzinger 1871,,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Pomacentrus trilineatus,P. trilineatus,Pomacentrus,Cuvier 1830,,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Plectroglyphidodon johnstonianus,Pl. johnstonianus,Plectroglyphidodon,Fowler & Ball 1924,,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Plectroglyphidodon lacrymatus,Pl. lacrymatus,Plectroglyphidodon,(Quoy & Gaimard 1825),,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Plectroglyphidodon dickii,Plectroglyphid. dickii,Plectroglyphidodon,(Lienard 1839),,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Pomacentrus caeruleopunctatus,Pomacentrus caeruleopunctatus,Pomacentrus,Allen 2002,,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Pristotis obtusirostris,Pristotis obtusirostris,Pristotis,(Gunther 1862),,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Stegastes nigricans,S. nigricans,Stegastes,(Lacepede 1802),,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Stegastes luteobrunneus,Stegast luteobrunneus,Stegastes,(Smith 1960),,,,,,,,,,N,N,Y,,,,,
Pomacentridae,Stegastes sp.1,Stegastes sp.1,Stegastes,,,,,,,,,,,N,N,Y,,,,,
Labridae,Anampses meleagrides,A. meleagrides,Anampses,Valenciennes 1840,,,,,,,,,,N,N,Y,,,,,
Labridae,Anampses twistii,A. twistii,Anampses,Bleeker 1856,,,,,,,,,,N,N,Y,,,,,
Labridae,Anampses lineatus,An. lineatus,Anampses,Randall 1972,,,,,,,,,,N,N,Y,,,,,
Labridae,Anampses caeruleopunctatus,Anampses caeruleopunt,Anampses,Ruppell 1829,,,,,,,,,,N,N,Y,,,,,
Labridae,Macropharyngodon sp. ,,Macropharyngodon sp. ,,,,,,,,,,,N,N,Y,,,,,
Labridae,Bodianus axillaris,B. axillaris,Bodianus,(Bennett 1832),,,,,,,,,,N,N,Y,,,,,
Labridae,Bodianus bilunulatus,B. bilunulatus,Bodianus,(Lacepede 1801),,,,,,,,,,N,N,Y,,,,,
Labridae,Bodianus diana,B. diana,Bodianus,(Lacepede 1801),,,,,,,,,,N,N,Y,,,,,
Labridae,Bodianus macrourus,B. macrourus,Bodianus,(Lacepede 1801),,,,,,,,,,N,N,Y,,,,,
Labridae,Bodianus anthioides,Bodianus anthioides,Bodianus,(Bennett 1832),,,,,,,,,,N,N,Y,,,,,
Labridae,Coris batuensis,C. batuensis,Coris,(Bleeker 1856),,,,,,,,,,N,N,Y,,,,,
Labridae,Coris caudimacula,C. caudimacula,Coris,(Quoy & Gaimard 1834),,,,,,,,,,N,N,Y,,,,,
Labridae,Cheilinus  fasciatus,C. fasciatus,Cheilinus,(Bloch 1791),,,,,,,,,,N,N,Y,,,,,
Labridae,Coris formosa,C. formosa,Coris,(Bennett 1830),,,,,,,,,,N,N,Y,,,,,
Labridae,Cheilinus oxycephalus,C. oxycephalus,Cheilinus,Bleeker 1853,,,,,,,,,,N,N,Y,,,,,
Labridae,Cheilinus trilobatus,C. trilobatus,Cheilinus,Lacepede 1801,,,,,,,,,,N,N,Y,,,,,
Labridae,Cheilinus undulatus,C. undulatus,Cheilinus,Ruppell 1835,Omnivores,0.0113,3.136,16,0.998,23,93,Cheilinus undulatus,Kulbicki et al 2005  listed in Green & Bellwood 60,Y,N,Y,,,,,
Labridae,Cheilinus chlorourus,Cheilinus chlorourus,Cheilinus,(Bloch 1791),,,,,,,,,,N,N,Y,,,,,
Labridae,Cheilio inermis,Cheilio inermis,Cheilio,(Forsskal 1775),,,,,,,,,,N,N,Y,,,,,
Labridae,Cirrhilabrus sp. (cf. balteatus),Cirrhilabrus cf. balteatus,Cirrhilabrus,,,,,,,,,Cirrhilabrus exquisitus,,N,N,Y,,,,,
Labridae,Cirrhilabrus exquisitus,Cirrhilabrus exquisitus,Cirrhilabrus,Smith 1957,,,,,,,,,,N,N,Y,,,,,
Labridae,Coris aygula,Coris aygula,Coris,Lacepede 1801,,,,,,,,,,N,N,Y,,,,,
Labridae,Coris cuvieri,Coris cuvieri,Coris,(Bennett 1831),,,,,,,,,,N,N,Y,,,,,
Labridae,Epibulus insidiator,Epibulus insidiator,Epibulus,(Pallas 1770),,,,,,,,,,N,N,Y,,,,,
Labridae,Gomphosus caeruleus,Gomphosus caeruleus,Gomphosus,Lacepede 1801,,,,,,,,,,N,N,Y,,,,,
Labridae,Hologymnosus doliatus,H. doliatus,Hologymnosus,(Lacepede 1801),,,,,,,,,,N,N,Y,,,,,
Labridae,Halichoeres dussumieri,H. dussumieri,Halichoeres,(Lacepede 1801),,,,,,,,,,N,N,Y,,,,,
Labridae,Halichoeres hortulanus,H. hortulanus,Halichoeres,(Bennett 1831),,,,,,,,,,N,N,Y,,,,,
Labridae,Halichoeres iridis,H. iridis,Halichoeres,(Pallas 1770),,,,,,,,,,N,N,Y,,,,,
Labridae,Halichoeres lamarii,H. lamarii,Halichoeres,Lacepède 1801,,,,,,,,,,N,N,Y,,,,,
Labridae,Halichoeres nebulosus,H. nebulosus,Halichoeres,(Lacepède 1801),,,,,,,,,,N,N,Y,,,,,
Labridae,Halichoeres scapularis,H. scapularis,Halichoeres,(Valenciennes 1839),,,,,,,,,,N,N,Y,,,,,
Labridae,Halichoeres zeylonicus,H. zeylonicus,Halichoeres,(Lacepède 1801),,,,,,,,,,N,N,Y,,,,,
Labridae,Halichoeres cosmetus,Halichoeres cosmetus,Halichoeres,Randall & Smith 1982,,,,,,,,,,N,N,Y,,,,,
Labridae,Hemigymnus fasciatus,Hemigymnus fasciatus,Hemigymnus,(Valenciennes 1839),,,,,,,,,,N,N,Y,,,,,
Labridae,Hemigymnus melapterus,Hemigymnus melapterus,Hemigymnus,(Valenciennes 1839),,,,,,,,,,N,N,Y,,,,,
Labridae,Hologymnosus annulatus,Hologymnosus annulatus,Hologymnosus,(Bennett 1832),,,,,,,,,,N,N,Y,,,,,
Labridae,Labroides dimidiatus,L. dimidiatus,Labroides,(Bennett 1833),,,,,,,,,,N,N,Y,,,,,
Labridae,Labrichthys unilineatus,Labrichthys unilineatus,Labrichthys,(Bloch 1791),,,,,,,,,,N,N,Y,,,,,
Labridae,Labroides bicolor,Labroides bicolor,Labroides,(Lacepède 1801),,,,,,,,,,N,N,Y,,,,,
Labridae,Labropsis xanthonota,Labropsis xanthonota,Labropsis,(Valenciennes 1839),,,,,,,,,,N,N,Y,,,,,
Labridae,Macropharyngodon bipartitus,Macropharyngodon bipartitus,Macropharyngodon,Smith 1957,,,,,,,,,,N,N,Y,,,,,
Labridae,Macropharyngodon sp. ,,Macropharyngodon,,,,,,,,,,,N,N,Y,,,,,
Labridae,Macropharyngodon vivienae,Macropharyngodon vivienae,Macropharyngodon,(Guichenot 1847),,,,,,,,,,N,N,Y,,,,,
Labridae,Novaculichthys taeniourus,Novaculichthys taeniourus,Novaculichthys,Randall 1981,,,,,,,,,,N,N,Y,,,,,
Labridae,Oxycheilinus bimaculatus,Oxycheilinus bimaculatus,Oxycheilinus,Smith 1957,,,,,,,,,,N,N,Y,,,,,
Labridae,Oxycheilinus digrammus,Oxycheilinus digrammus,Oxycheilinus,Bleeker 1862,,,,,,,,,,N,N,Y,,,,,
Labridae,Oxycheilinus mentalis,Oxycheilinus mentalis,Oxycheilinus,Randall 1978,,,,,,,,,,N,N,Y,,,,,
Labridae,Oxycheilinus orientalis,Oxycheilinus orientalis,Oxycheilinus,(Günther 1862),,,,,,,,,,N,N,Y,,,,,
Labridae,Pseudocheilinus evanidus,Pseudocheilinus evanidus,Pseudocheilinus,(Lacepède 1801),,,,,,,,,,N,N,Y,,,,,
Labridae,Pseudocheilinus hexataenia,Pseudocheilinus hexataenia,Pseudocheilinus,(Valenciennes 1840),,,,,,,,,,N,N,Y,,,,,
Labridae,Pseudocheilinus sp.,Pseudocheilinus sp.,Pseudocheilinus,,,,,,,,,,,N,N,Y,,,,,
Labridae,Pseudocoris yamashiroi,Pseudocoris yamashiroi,Pseudocoris,(Rüppell 1828),,,,,,,,,,N,N,Y,,,,,
Labridae,Pseudodax moluccanus,Pseudodax moluccanus,Pseudodax,(Günther 1862),,,,,,,,,,N,N,Y,,,,,
Labridae,Pseudojuloides polackorum,Pseudojuloides polakorum,Pseudojuloides,Connell 2015,,,,,,,,,,N,N,Y,,,,,
Labridae,Pseudojuloides sp. (cf. atavi),Pseudojuloides cf. atavi,Pseudojuloides,,,,,,,,,,,N,N,Y,,,,,
Labridae,Pteragogus cryptus,Pteragogus cryptus,Pteragogus,Bleeker 1862,,,,,,,,,,N,N,Y,,,,,
Labridae,Pteragogus flagellifera,Pteragogus flagellifera,Pteragogus,(Schmidt 1931),,,,,,,,,,N,N,Y,,,,,
Labridae,Pteragogus sp.,Pteragogus sp.,Pteragogus,(Valenciennes 1840),,,,,,,,,,N,N,Y,,,,,
Labridae,Stethojulis albovittata,Stethojulis albovittatus,Stethojulis,(Bonnaterre 1788),,,,,,,,,,N,N,Y,,,,,
Labridae,Stethojulis strigiventer,Stethojulis strigiventer,Stethojulis,Randall 1981,,,,,,,,,,N,N,Y,,,,,
Labridae,Thalassoma hardwicki,T. hardwicki,Thalassoma,(Valenciennes 1839),,,,,,,,,,N,N,Y,,,,,
Labridae,Thalassoma herbracium,T. herbracium,Thalassoma,Peters 1855,,,,,,,,,,N,N,Y,,,,,
Labridae,Thalassoma lunare,T. lunare,Thalassoma,Peters 1855,,,,,,,,,,N,N,Y,,,,,
Labridae,Thalassoma purpureum,T. purpureum,Thalassoma,(Bonnaterre 1788),,,,,,,,,,N,N,Y,,,,,
Labridae,Thalassoma amblycephalum,Thalassoma amblycephal,Thalassoma,(Bennett 1833),,,,,,,,,,N,N,Y,,,,,
Labridae,Thalassoma genivittatum,Thalassoma sp.1 -genivittatum?,Thalassoma,(Bennett 1830),,,,,,,,,,N,N,Y,,,,,
Scarinae,Bolbometapon muricatum,Bolbo. muricatum,Bolbmetapon,"(Lacepede, 1801)",Large excavators,0.0098,3.133,,,,,Bolbometapon muricatum,Hamilton 2004,Y,Y,Y,,,,,
Scarinae,Calotomus carolinus,Calotomus carolinus,Calotomus,(Linnaeus 1758),Browsers,0.0122,3.167,,,,,Calotomus carolinus,Fishbase,N,Y,Y,,,,,
Scarinae,Calotomus spinidens,Calotomus spinidens,Calotomus,(Forsskål 1775),Browsers,0.0091,3.273,,,,,Calotomus spinidens,Fishbase,N,Y,Y,,,,,
